PT	AU	BA	BE	GP	AF	BF	CA	TI	SO	SE	BS	LA	DT	CT	CY	CL	SP	HO	DE	ID	AB	C1	C3	RP	EM	RI	OI	FU	FP	FX	CR	NR	TC	Z9	U1	U2	PU	PI	PA	SN	EI	BN	J9	JI	PD	PY	VL	IS	PN	SU	SI	MA	BP	EP	AR	DI	DL	D2	EA	PG	WC	WE	SC	GA	PM	OA	HC	HP	DA	UT
J	Li, C; Leng, QY; Li, LH; Hu, F; Xu, YJ; Gong, S; Yang, Y; Zhang, HL; Li, XH				Li, Chang; Leng, Qingyang; Li, Lihua; Hu, Fan; Xu, Yuejie; Gong, Sa; Yang, Ying; Zhang, Hongli; Li, Xiaohua			Berberine Ameliorates Obesity by Inducing GDF15 Secretion by Brown Adipocytes	ENDOCRINOLOGY																		LI, XIAOHUA/0000-0003-1580-6405; zhang, hongli/0000-0002-9492-4225; Li, Chang/0000-0001-8019-3794													0013-7227	1945-7170				FEB 11	2023	164	4							bqad035	10.1210/endocr/bqad035	http://dx.doi.org/10.1210/endocr/bqad035								36825874					WOS:000946639000001
J	Yang, YX; Zhang, BW; Bao, Y; Huang, P; Li, J; Li, R; Zhao, Q				Yang, Yixi; Zhang, Bowen; Bao, Ying; Huang, Peng; Li, Jian; Li, Rui; Zhao, Qi			Chromosome-Level Genome Assembly of Herpetospermum pedunculosum (Cucurbitaceae)	GENOME BIOLOGY AND EVOLUTION																															1759-6653					FEB 3	2023	15	2							evad005	10.1093/gbe/evad005	http://dx.doi.org/10.1093/gbe/evad005								36652386					WOS:000924984700003
J	Cheng, XH; Li, XY; Liao, BS; Xu, J; Hu, LH				Cheng, Xianhui; Li, Xiaoying; Liao, Baosheng; Xu, Jiang; Hu, Lianghai			Improved performance of proteomic characterization for Panax ginseng by strong cation exchange extraction and liquid chromatography-mass spectrometry analysis	JOURNAL OF CHROMATOGRAPHY A																															0021-9673	1873-3778				JAN 11	2023	1688								463692	10.1016/j.chroma.2022.463692	http://dx.doi.org/10.1016/j.chroma.2022.463692								36549145					WOS:000904646100011
J	Dorjsembe, B; Joo, H; Nho, C; Ham, J; Kim, JC				Dorjsembe, Banzragch; Joo, Haneul; Nho, Chuwon; Ham, Jungyeob; Kim, Jin-Chul			Aruncus dioicus var. kamtschaticus Extract Ameliorates Psoriasis-like Skin Inflammation via Akt/mTOR and JAK2/STAT3 Signaling Pathways in a Murine Model	NUTRIENTS																																2072-6643				DEC	2022	14	23							5094	10.3390/nu14235094	http://dx.doi.org/10.3390/nu14235094								36501124					WOS:000897437900001
J	Babic, M; Mitra, D; Das Mohapatra, PK; Papovic, O; Milenkovic, J; Jevtic, G; Babic, S; Andjelkovic, S				Babic, Milijana; Mitra, Debasis; Das Mohapatra, Pradeep K.; Papovic, Olivera; Milenkovic, Jasmina; Jevtic, Goran; Babic, Snezana; Andjelkovic, Snezana			ENVIRONMENTAL ASSESSMENT OF SOME HEAVY METALS IN SELECTED MEDICINAL PLANT SPECIES ALONG A BUSY ROAD IN VRNJACKA BANJA, SERBIA	CARPATHIAN JOURNAL OF EARTH AND ENVIRONMENTAL SCIENCES																	Mitra, Debasis/AAP-1925-2020	Mitra, Debasis/0000-0003-0525-8812; Babic, Snezana/0000-0002-1356-2577													1842-4090	1844-489X				AUG	2022	17	2					259	265		10.26471/cjees/2022/017/219	http://dx.doi.org/10.26471/cjees/2022/017/219													WOS:000882851000006
J	Amjadian, OA; Arji, I; Changizi, M; Khaghani, S; Salehi, HR				Amjadian, Omid-Ali; Arji, Isa; Changizi, Mahdi; Khaghani, Shahab; Salehi, Hamid-Reza			Determination of cyanogenic glycosides in endemic species of wild almond seeds in the Zagros Mountains	BRAZILIAN JOURNAL OF BOTANY																	khaghani, shahab/IAS-0787-2023; Changizi/AAN-6902-2021; Khaghani, Shahab/AAN-5985-2021; Arji, Isa/ABG-8373-2021	khaghani, shahab/0000-0002-6802-1882; Changizi/0000-0001-8440-1108; Khaghani, Shahab/0000-0002-6802-1882; Arji, Isa/0000-0002-6188-1724													0100-8404	1806-9959				DEC	2020	43	4					697	704		10.1007/s40415-020-00668-7	http://dx.doi.org/10.1007/s40415-020-00668-7		OCT 2020											WOS:000584024400002
J	Rao, S; Sharma, AK; Dobhal, MP; Sharma, MC				Rao, S.; Sharma, A. K.; Dobhal, M. P.; Sharma, M. C.			IDENTIFICATION OF NOVEL NATURAL MOLECULE FROM METHANOLIC STEM BARK EXTRACT OF PARKINSONIA ACULEATA	INTERNATIONAL JOURNAL OF PHARMACEUTICAL SCIENCES AND RESEARCH																	Sharma, Avdhesh Kr/AHE-2034-2022	Sharma, Avdhesh Kr/0000-0003-2544-0486													0975-8232					JUL	2020	11	7					3360	3366		10.13040/IJPSR.0975-8232.11(7).3360-66	http://dx.doi.org/10.13040/IJPSR.0975-8232.11(7).3360-66													WOS:000546179900033
J	Janatiningrum, I; Solihin, DD; Meryandini, A; Lestari, Y				Janatiningrum, Isra; Solihin, Dedy Duryadi; Meryandini, Anja; Lestari, Yulin			Rat alpha glucosidase inhibitor and phytochemicals activities of endophytic actinobacteria from Ficus deltoidea	PAKISTAN JOURNAL OF PHARMACEUTICAL SCIENCES																	Lestari, Yulin/GPP-3891-2022; Solihin, Dedy Duryadi/GPK-6102-2022; Meryandini, Anja/CAF-0087-2022	Lestari, Yulin/0000-0003-0962-3194; Meryandini, Anja/0000-0002-0956-1125													1011-601X					MAY	2020	33	3					969	975		10.36721/PJPS.2020.33.3.REG.969-975.1	http://dx.doi.org/10.36721/PJPS.2020.33.3.REG.969-975.1								33191220					WOS:000523571000010
J	Mansour, H; Alsamadany, H; Al-Hasawi, ZM				Mansour, Hassan; Alsamadany, Hameed; Al-Hasawi, Zaki M.			Genetic diversity and genetic structure of Salvadora persica L., rare plant species in Rabigh province, Saudi Arabia: implications for conservation	JOURNAL OF TAIBAH UNIVERSITY FOR SCIENCE																	Mansour, Hassan/B-1080-2019; Alsamadany, Hameed/AAS-6193-2021	Mansour, Hassan/0000-0001-8728-2490; 													1658-3655					JAN 1	2020	14	1					881	888		10.1080/16583655.2020.1787640	http://dx.doi.org/10.1080/16583655.2020.1787640													WOS:000547162100001
J	Yu, Y; Yong, B; Xu, CL; Zhang, LY				Yu, Yun; Yong, Bian; Xu, Changliang; Zhang, Luyong			T-96 attenuates inflammation by inhibiting NF-kappa B in adjuvant-induced arthritis	FRONTIERS IN BIOSCIENCE-LANDMARK																	Stefanadis, Christodoulos/ABH-2232-2020	Stefanadis, Christodoulos/0000-0001-5974-6454													1093-9946	1093-4715				JAN 1	2020	25						498	512	PMID 31585899	10.2741/4816	http://dx.doi.org/10.2741/4816								31585899					WOS:000563768500006
J	Ling, Y; Lei, ZN; Li, XY; Yan, XY; Wang, SY; Yang, WL; Nie, QH; Zhang, Q; Bao, HO; Yu, JM; Jin, HG				Ling, Yun; Lei, Zhineng; Li, Xinying; Yan, Xinyu; Wang, Siying; Yang, Wanling; Nie, Qianhui; Zhang, Qing; Bao, Hai'ou; Yu, Jingmou; Jin, Hongguang			Characterization and Identification of the Chemical Constituents of Gynostemma pentaphyllum Using High Performance Liquid Chromatography ? Electrospray Ionization ? Quadrupole Time-of-Flight Tandem Mass Spectrometry (HPLC-ESI-QTOF-MS/MS)	ANALYTICAL LETTERS																	JIN, Hong-Guang/I-8549-2014	Yu, Jingmou/0000-0002-7850-8205													0003-2719	1532-236X				MAR 23	2020	53	5					760	773		10.1080/00032719.2019.1675075	http://dx.doi.org/10.1080/00032719.2019.1675075		OCT 2019											WOS:000489198700001
J	Jeyaram, S; Geethakrishnan, T				Jeyaram, S.; Geethakrishnan, T.			Linear and nonlinear optical properties of chlorophyll-a extracted from Andrographis paniculata leaves	OPTICS AND LASER TECHNOLOGY																															0030-3992	1879-2545				AUG	2019	116						31	36		10.1016/j.optlastec.2019.03.013	http://dx.doi.org/10.1016/j.optlastec.2019.03.013													WOS:000467508400007
J	Kostic, D; Arsic, B; Randelovic, S; Pavlovic, A; Tosic, S; Stojanovic, G				Kostic, Danijela; Arsic, Biljana; Randelovic, Sasa; Pavlovic, Aleksandra; Tosic, Snezana; Stojanovic, Gordana			Correlation Analysis of Heavy Metals Contents of Malva sylvestris L. plant and Its Extracts from Polluted and Non-polluted Locations in Ni, Republic of Serbia	WATER AIR AND SOIL POLLUTION																	Arsic, Biljana/X-1421-2018; Stojanović, Gordana/AAB-9500-2020	Arsic, Biljana/0000-0002-1248-5864; Stojanovic, Gordana/0000-0002-3128-6510; Tosic, Snezana/0000-0001-9215-9809													0049-6979	1573-2932				MAY	2019	230	5							98	10.1007/s11270-019-4153-6	http://dx.doi.org/10.1007/s11270-019-4153-6													WOS:000465170700001
J	Liu, MX; Copmans, D; Lu, JG; Yang, MR; Sourbron, J; Ny, A; Jiang, ZH; de Witte, PAM; Luyten, W				Liu, Maoxuan; Copmans, Danielle; Lu, Jing-Guang; Yang, Ming-Rong; Sourbron, Jo; Ny, Annelii; Jiang, Zhi-Hong; de Witte, Peter A. M.; Luyten, Walter			Bioassay-guided isolation of anti-seizure principles from Semen Pharbitidis using a zebrafish pentylenetetrazol seizure model	JOURNAL OF ETHNOPHARMACOLOGY																	Sourbron, Jo/B-6599-2015; Copmans, Daniëlle/K-7571-2018; Liu, Maoxuan/V-6311-2019; Ny, Annelii/R-7712-2018	Sourbron, Jo/0000-0002-5319-6495; Copmans, Daniëlle/0000-0002-9804-8410; Jiang, Zhi-Hong/0000-0002-7956-2481; de Witte, Peter/0000-0002-9989-9567; Ny, Annelii/0000-0002-3678-5941													0378-8741	1872-7573				MAR 25	2019	232						130	134		10.1016/j.jep.2018.12.024	http://dx.doi.org/10.1016/j.jep.2018.12.024								30572093					WOS:000467003000014
J	Khurana, P; Kumar, D; Gupta, R				Khurana, Pooja; Kumar, Deepak; Gupta, Richa			A Computational Model to Access the Impact of Medicinal based Plants for Curing of Type-1 Diabetes Mellitus	AMBIENT SCIENCE																	Kumar, Deepak/AAT-1777-2020; Khurana, Pooja/ABH-1296-2021; Khurana, Pooja/AAT-1663-2020	Kumar, Deepak/0000-0001-9419-8895; Khurana, Pooja/0000-0001-6913-5382; 													2348-5191	2348-8980					2019	6				1					10.21276/ambi.2019.06.sp1.ta01	http://dx.doi.org/10.21276/ambi.2019.06.sp1.ta01													WOS:000523300200007
J	Zhu, JH; Li, HA; Guo, D; Wang, Y; Dai, HF; Mei, WL; Peng, SQ				Zhu, Jia-Hong; Li, Hui-ang; Guo, Dong; Wang, Ying; Dai, Hao-Fu; Mei, Wen-Li; Peng, Shi-Qing			Identification, characterization and expression analysis of genes involved in steroidal saponin biosynthesis in Dracaena cambodiana	JOURNAL OF PLANT RESEARCH																															0918-9440	1618-0860				MAY	2018	131	3			SI		555	562		10.1007/s10265-017-1004-7	http://dx.doi.org/10.1007/s10265-017-1004-7								29234988					WOS:000430987600015
