"","id","plant_name","uid","count","height","part","duration","medicinal_activites","products","population","clinical_trial_count","median_height"
"84",84,"Vitex negundo",361442,33,NA,NA,NA,NA,NA,NA,1,1.5
"85",85,"Capparis spinosa",65558,32,NA,NA,NA,NA,NA,NA,0,0.75
"86",86,"Citrullus colocynthis",252529,32,NA,NA,NA,NA,NA,NA,1,1.65
"87",87,"Hibiscus sabdariffa",183260,32,NA,NA,NA,NA,NA,NA,18,1.5
"88",88,"Lantana camara",126435,32,NA,NA,NA,NA,NA,NA,0,2
"89",89,"Lessertia frutescens",47091,32,NA,NA,NA,NA,NA,NA,1,1.7
"90",90,"Lycium barbarum",112863,32,NA,NA,NA,NA,NA,NA,10,2.25
"91",91,"Mentha arvensis",292239,32,NA,NA,NA,NA,NA,NA,2,0.41
"92",92,"Syzygium cumini",260142,32,NA,NA,NA,NA,NA,NA,2,18.288
"93",93,"Teucrium polium",1117157,32,NA,NA,NA,NA,NA,NA,0,0.19
"94",94,"Annona muricata",13337,31,NA,NA,NA,NA,NA,NA,6,8
"95",95,"Cuminum cyminum",52462,31,NA,NA,NA,NA,NA,NA,16,0.25
"96",96,"Gymnanthemum amygdalinum",82755,31,NA,NA,NA,NA,NA,NA,1,8
"97",97,"Hippophae rhamnoides",193516,31,NA,NA,NA,NA,NA,NA,9,2.375
"98",98,"Mucuna pruriens",157652,31,NA,NA,NA,NA,NA,NA,3,NA
"99",99,"Swertia chirayita",137887,31,NA,NA,NA,NA,NA,NA,2,NA
"100",100,"Tetrastigma hemsleyanum",1006121,31,NA,NA,NA,NA,NA,NA,0,NA
