,id,uid,sci_name,kingdom
349,837,2839963,Zanthoxylum asiaticum,33090
350,838,377125,Apocynum venetum,33090
351,841,751808,Clinopodium polycephalum,33090
352,842,2753872,Daphne acutiloba,33090
353,843,355589,Huperzia serrata,33090
354,844,190534,Vaccinium arctostaphylos,33090
355,846,483812,Leucas biflora,33090
356,847,41228,Plectranthus barbatus,33090
357,848,3845,Erythrina variegata,33090
358,849,185080,Cynanchum thesioides,33090
359,852,82070,Squilla maritima,33090
360,854,53719,Eclipta prostrata,33090
361,855,1073321,Saraca asoca,33090
362,856,43366,Clitoria ternatea,33090
363,858,1417791,Pelargonium sidoides,33090
364,858,141317,Justicia adhatoda,33090
365,860,99507,Heracleum moellendorffii,33090
366,862,136215,Curcuma flaviflora,33090
367,863,48101,Angelica dahurica,33090
368,864,183944,Patrinia villosa,33090
369,865,65561,Hypericum perforatum,33090
370,867,1387576,Caesalpinia bahamensis,33090
371,869,1405045,Lepechinia salviae,33090
372,870,54477,Vitex agnus-castus,33090
373,872,396476,Mallotus barbatus,33090
374,873,240019,Agriophyllum squarrosum,33090
375,874,396369,Elephantopus scaber,33090
376,875,72402,Senna alexandrina,33090
377,876,1073321,Saraca asoca,33090
378,876,235806,Monoon longifolium,33090
379,878,357970,Angelica biserrata,33090
380,880,54724,Hansenia weberbaueriana,33090
381,884,2743281,Pilocarpus microphyllus,33090
382,885,69391,Wrightia arborea,33090
383,886,226208,Salvia miltiorrhiza,33090
384,889,260142,Syzygium cumini,33090
385,890,3483,Cannabis sativa,33090
386,892,78534,Trigonella foenum-graecum,33090
387,892,390705,Securigera securidaca,33090
388,894,98504,Matricaria chamomilla,33090
389,896,92921,Silybum marianum,33090
390,897,216016,Mesembryanthemum tortuosum,33090
391,898,59627,Myrmecodia tuberosa,33090
392,900,161756,Isatis tinctoria,33090
393,902,1217422,Vachellia leucophloea,33090
394,903,52570,Trachyspermum ammi,33090
395,904,715697,Galium mexicanum,33090
396,905,41230,Marrubium vulgare,33090
397,906,289753,Rhus chinensis,33090
398,907,199225,Pinellia ternata,33090
399,908,35608,Artemisia annua,33090
400,910,74613,Glycyrrhiza uralensis,33090
401,915,137887,Swertia chirayita,33090
402,916,228709,Cynanchum wilfordii,33090
403,916,157409,Cynanchum auriculatum,33090
404,916,76025,Fallopia multiflora,33090
405,917,74613,Glycyrrhiza uralensis,33090
406,919,324593,Saussurea costus,33090
407,922,710102,Calligonum polygonoides,33090
408,923,1443264,Satureja sahendica,33090
