id,uid,sci_name,kingdom
768,142615,Dendrobium officinale,33090
769,3735,Moringa oleifera,33090
772,555479,Nigella sativa,33090
774,165499,Hansenia forbesii,33090
775,657405,Astilbe rivularis,33090
776,127986,Matricaria chamomilla var. recutita,33090
780,159048,Glycosmis parviflora,33090
781,318062,Euphorbia hirta,33090
782,1097658,Solanum undatum,33090
783,132261,Cuscuta campestris,33090
784,1170222,Abelmoschus moschatus,33090
785,205378,Artemisia sieversiana,33090
787,377126,Apocynum pictum,33090
789,43575,Uncaria rhynchophylla,33090
792,86864,Codonopsis pilosula,33090
793,119829,Astragalus mongholicus,33090
794,1271632,Ferula sinkiangensis,33090
797,2984255,Zingiber cassumunar,33090
798,405945,Leonurus sibiricus,33090
800,905076,Brugmansia suaveolens,33090
806,13216,Piper nigrum,33090
811,156492,Pyrrosia longifolia,33090
813,1308043,Prinsepia utilis,33090
814,141186,Lagerstroemia indica,33090
818,4054,Panax ginseng,33090
820,946018,Strobilanthes crispa,33090
823,3258,Equisetum arvense,33090
823,39350,Ocimum basilicum,33090
825,191958,Zuccagnia punctata,33090
826,83800,Cardiocrinum giganteum,33090
827,519284,Campanula pelviformis,33090
827,239464,Petromarula pinnata,33090
828,157409,Cynanchum auriculatum,33090
832,55670,Stevia rebaudiana,33090
833,39297,Dracocephalum ruyschiana,33090
834,3483,Cannabis sativa,33090
837,543980,Thymbra capitata,33090
837,34256,Mentha x piperita,33090
838,4100,Nicotiana benthamiana,33090
838,258458,Anisodus luridus,33090
839,13427,Cichorium intybus,33090
842,34317,Eucalyptus globulus,33090
844,3821,Cajanus cajan,33090
845,119829,Astragalus mongholicus,33090
847,2689076,Ligusticum chuanxiong,33090
848,2058553,Hemipilia pinguicula,33090
850,344754,Rhododendron decorum,33090
853,29588,Cibotium barometz,33090
859,126435,Lantana camara,33090
862,127999,Tanacetum parthenium,33090
864,106556,Malus hupehensis,33090
865,40949,Angelica archangelica,33090
867,226208,Salvia miltiorrhiza,33090
871,397098,Cinnamomum tamala,33090
875,362630,Leuzea carthamoides,33090
881,241842,Acanthus ebracteatus,33090
886,227250,Eminium spiculatum,33090
891,447671,Lonicera microphylla,33090
892,3242077,Isatis indigotica,33090
894,3097545,Gentiana crassa subsp. rigescens,33090
895,293060,Moeroris amara,33090
896,323030,Croton bonplandianus,33090
897,76025,Fallopia multiflora,33090
899,74645,Rosa rugosa,33090
900,67938,Zanthoxylum armatum,33090
901,360621,Heracleum persicum,33090
902,3311,Ginkgo biloba,33090
903,561566,Puya chilensis,33090
904,48119,Glehnia littoralis,33090
905,47091,Lessertia frutescens,33090
906,118778,Tussilago farfara,33090
907,1926966,Baccharis genistelloides subsp. crispa,33090
908,147913,Camellia fascicularis,33090
910,587666,Platostoma chinense,33090
911,1524234,Acacia concinna,33090
913,252529,Citrullus colocynthis,33090
915,587666,Platostoma chinense,33090
916,252529,Citrullus colocynthis,33090
918,52570,Trachyspermum ammi,33090
920,263848,Urena lobata,33090
921,948713,Senna auriculata,33090
923,82528,Crocus sativus,33090
925,81733,Hemerocallis minor,33090
926,4006,Linum usitatissimum,33090
927,41220,Gloriosa superba,33090
928,144562,Pyracantha fortuneana,33090
930,72352,Artemisia sieberi,33090
933,39367,Salvia rosmarinus,33090
943,42345,Phoenix dactylifera,33090
944,85571,Citrus reticulata,33090
947,174251,Vaccinium dunalianum,33090
948,204149,Ocimum tenuiflorum,33090
949,126910,Withania somnifera,33090
952,68554,Phellodendron amurense,33090
954,97751,Kaempferia parviflora,33090
955,204144,Ocimum gratissimum,33090
959,39333,Lavandula stoechas,33090
963,216016,Mesembryanthemum tortuosum,33090
968,210369,Tribulus terrestris,33090
971,4058,Catharanthus roseus,33090
975,259893,Artemisia argyi,33090
978,2026821,Hymenocrater platystegius,33090
979,261448,Coptis teeta,33090
980,470571,Hosta plantaginea,33090
982,91201,Gastrodia elata,33090
983,184386,Diplorhynchus condylocarpon,33090
986,293060,Moeroris amara,33090
987,72351,Artemisia scoparia,33090
988,49992,Thymus vulgaris,33090
989,39338,Melissa officinalis,33090
990,226208,Salvia miltiorrhiza,33090
992,2733505,Fritillaria cirrhosa subsp. roylei,33090
993,714503,Sophora tonkinensis,33090
996,119260,Cinnamomum aromaticum,33090
997,324593,Saussurea costus,33090
998,293752,Limonium sinense,33090
1002,352190,Peperomia pellucida,33090
1003,990364,Tamarix tetragyna,33090
1004,714503,Sophora tonkinensis,33090
1007,272846,Asparagus racemosus,33090
1008,3888,Pisum sativum,33090
