"","sci_name","uid","count"
"347","Atractylodes macrocephala",265785,11
"348","Atropa belladonna",33113,11
"349","Balanites aegyptiaca",886265,11
"350","Capparis decidua",622458,11
"351","Coccinia grandis",387127,11
"352","Couroupita guianensis",66684,11
"353","Dalbergia sissoo",107308,11
"354","Dillenia indica",4378,11
"355","Dioscorea bulbifera",35874,11
"356","Dioscorea zingiberensis",325984,11
"357","Glehnia littoralis",48119,11
"358","Hypoxis hemerocallidea",862860,11
"359","Illicium verum",124778,11
"360","Labisia pumila",396393,11
"361","Mesosphaerum suaveolens",204129,11
"362","Mikania glomerata",1073848,11
"363","Mikania laevigata",1049779,11
"364","Mondia whitei",244352,11
"365","Monteverdia ilicifolia",1081520,11
"366","Morinda lucida",339305,11
"367","Nerium oleander",63479,11
"368","Ophiopogon japonicus",100506,11
"369","Paeonia suffruticosa",45171,11
"370","Panax japonicus",44685,11
"371","Phlomoides rotata",572115,11
"372","Phoenix dactylifera",42345,11
"373","Pimpinella anisum",271192,11
"374","Pistacia atlantica",434234,11
"375","Platycladus orientalis",58046,11
"376","Primula veris",170927,11
"377","Rotheca serrata",1158923,11
"378","Salvia fruticosa",268906,11
"379","Sophora alopecuroides",200492,11
"380","Tecoma stans",69904,11
"381","Thymbra capitata",543980,11
"382","Tithonia diversifolia",684020,11
"383","Uncaria rhynchophylla",43575,11
"384","Viola odorata",97441,11
"385","Ziziphora tenuior",751882,11
"386","Achillea fragrantissima",282738,10
"387","Albizia lebbeck",371650,10
"388","Alpinia oxyphylla",125261,10
"389","Anacyclus pyrethrum",159698,10
"390","Artemisia campestris",72337,10
"391","Artemisia judaica",205369,10
"392","Chenopodium album",3559,10
"393","Chromolaena odorata",103745,10
"394","Cinnamomum camphora",13429,10
"395","Coreopsis tinctoria",41554,10
"396","Cymbopogon flexuosus",79835,10
"397","Cymbopogon winterianus",1414754,10
"398","Dioscorea oppositifolia",569628,10
"399","Elephantopus scaber",396369,10
"400","Equisetum arvense",3258,10
"401","Erigeron breviscapus",244311,10
"402","Eruca vesicaria subsp. sativa",29727,10
"403","Ferulago angulata",325741,10
"404","Fridericia chica",353936,10
"405","Helichrysum italicum",261786,10
"406","Heracleum persicum",360621,10
"407","Inula racemosa",483693,10
"408","Lavandula stoechas",39333,10
"409","Leucas aspera",483811,10
"410","Mentha suaveolens",38860,10
"411","Mirabilis himalaica",482968,10
"412","Moringa peregrina",161031,10
"413","Oliveria decumbens",2571315,10
"414","Polygonatum kingianum",261420,10
"415","Polygonatum sibiricum",261423,10
"416","Rhodomyrtus tomentosa",98583,10
"417","Rosa rugosa",74645,10
"418","Saposhnikovia divaricata",203717,10
"419","Saussurea involucrata",200489,10
"420","Schisandra sphenanthera",13674,10
"421","Scrophularia ningpoensis",291326,10
"422","Scrophularia striata",1042520,10
"423","Solanum melongena",4111,10
"424","Squilla maritima",82070,10
"425","Styphnolobium japonicum",3897,10
"426","Tetrapleura tetraptera",148728,10
"427","Trichosanthes kirilowii",3677,10
"428","Vincetoxicum indicum",63500,10
"429","Vitex trifolia",204215,10
"430","Woodfordia fruticosa",141189,10
"431","Xylopia aethiopica",1317910,10
"432","Abelmoschus manihot",183220,9
"433","Aconitum heterophyllum",279769,9
"434","Adenanthera pavonina",3811,9
"435","Aerva javanica",240009,9
"436","Ageratum conyzoides",68299,9
"437","Alkanna tinctoria",543564,9
"438","Alkekengi officinarum",33120,9
"439","Aloe arborescens",45385,9
"440","Aloe ferox",117798,9
"441","Althaea officinalis",145745,9
"442","Anadenanthera colubrina",148671,9
"443","Argemone mexicana",54796,9
"444","Artemisia vulgaris",4220,9
"445","Baccharis trimera",1486033,9
"446","Berberis lycium",659594,9
"447","Bombax ceiba",45325,9
"448","Caralluma europaea",197236,9
"449","Chrysopogon zizanioides",167337,9
"450","Cinnamomum tamala",397098,9
"451","Citrus x aurantium",43166,9
"452","Corchorus olitorius",93759,9
"453","Cordia curassavica",246543,9
"454","Costus pictus",168183,9
"455","Crataegus pinnatifida",510735,9
"456","Cucurbita pepo",3663,9
"457","Curcuma wenyujin",136221,9
"458","Dactylorhiza hatagirea",2942076,9
"459","Datura inoxia",4075,9
"460","Dittrichia viscosa",56525,9
"461","Embelia ribes",459629,9
"462","Euphorbia tirucalli",142860,9
"463","Evolvulus alsinoides",439689,9
"464","Forsythia suspensa",126418,9
"465","Garcinia kola",469930,9
"466","Gynochthodes officinalis",266091,9
"467","Hancornia speciosa",403091,9
"468","Hedychium coronarium",71610,9
"469","Hydrastis canadensis",13569,9
"470","Jatropha gossypiifolia",454931,9
"471","Juniperus procera",62753,9
"472","Khaya senegalensis",587579,9
"473","Kigelia africana",70070,9
"474","Lactuca sativa",4236,9
"475","Leptadenia reticulata",492004,9
"476","Lonicera macranthoides",638627,9
"477","Lycoris radiata",228395,9
"478","Myristica fragrans",51089,9
"479","Nicotiana benthamiana",4100,9
"480","Nothapodytes nimmoniana",159386,9
"481","Oryza sativa",4530,9
"482","Ouret lanata",292353,9
"483","Papaver bracteatum",215227,9
"484","Persicaria tinctoria",96455,9
"485","Piper sarmentosum",405319,9
"486","Pluchea indica",175518,9
"487","Polygala tenuifolia",355332,9
"488","Pongamia pinnata",56065,9
"489","Pueraria candollei",480421,9
"490","Quercus infectoria",39470,9
"491","Rhamnus prinoides",280022,9
"492","Satureja khuzistanica",1114304,9
"493","Satureja montana",49988,9
"494","Senegalia catechu",138017,9
"495","Sesbania grandiflora",206309,9
"496","Siraitia grosvenorii",190515,9
"497","Smallanthus sonchifolius",185202,9
"498","Symphytum officinale",278672,9
"499","Tanacetum vulgare",128002,9
"500","Taxus wallichiana",147273,9
"501","Tephrosia purpurea",228354,9
"502","Tulbaghia violacea",51492,9
"503","Tussilago farfara",118778,9
"504","Vinca minor",60093,9
