id,plant_name,uid,count,height,part,duration,medicinal_activites,products,population,clinical_trial_count
227,Chlorophytum borivilianum,503355,17,,,,,,,0
228,Epimedium sagittatum,253616,17,,,,,,,2
229,Ficus deltoidea,182111,17,,,,,,,1
230,Huperzia serrata,355589,17,,,,,,,0
231,Jatropha curcas,180498,17,,,,,,,0
232,Linum usitatissimum,4006,17,,,,,,,99
233,Olea europaea,4146,17,,,,,,,266
234,Origanum majorana,268884,17,,,,,,,3
235,Pelargonium graveolens,73200,17,,,,,,,11
236,Akebia trifoliata,155132,16,,,,,,,0
237,Apium graveolens,4045,16,,,,,,,4
238,Artemisia afra,72333,16,,,,,,,2
239,Cajanus cajan,3821,16,,,,,,,1
240,Dysphania ambrosioides,330163,16,,,,,,,0
241,Eucalyptus globulus,34317,16,,,,,,,13
242,Pistacia lentiscus,371726,16,,,,,,,6
243,Rosa roxburghii,74654,16,,,,,,,1
244,Ruta graveolens,37565,16,,,,,,,2
245,Solanum torvum,119830,16,,,,,,,0
246,Tamarindus indica,58860,16,,,,,,,2
247,Ajuga bracteosa,1585251,15,,,,,,,0
248,Boesenbergia rotunda,97729,15,,,,,,,1
249,Centaurium erythraea,172057,15,,,,,,,0
250,Chamaenerion angustifolium,13055,15,,,,,,,0
251,Chelidonium majus,71251,15,,,,,,,0
252,Datura stramonium,4076,15,,,,,,,1
253,Ficus religiosa,66387,15,,,,,,,0
254,Humulus lupulus,3486,15,,,,,,,13
255,Lagenaria siceraria,3668,15,,,,,,,0
256,Lepidium meyenii,153348,15,,,,,,,8
257,Persea americana,3435,15,,,,,,,28
258,Pfaffia glomerata,221785,15,,,,,,,0
259,Physalis peruviana,126903,15,,,,,,,0
260,Ruta chalepensis,452790,15,,,,,,,0
261,Sambucus nigra,4202,15,,,,,,,1
262,Trillium govanianum,82485,15,,,,,,,0
263,Vitex agnus-castus,54477,15,,,,,,,6
264,Wurfbainia villosa,199627,15,,,,,,,0
265,Areca catechu,184783,14,,,,,,,12
266,Blainvillea acmella,1205696,14,,,,,,,0
267,Borago officinalis,13363,14,,,,,,,7
268,Calotropis gigantea,4066,14,,,,,,,0
269,Celastrus paniculatus,994668,14,,,,,,,0
270,Cistanche deserticola,161395,14,,,,,,,0
271,Codonopsis lanceolata,103999,14,,,,,,,1
272,Cyperus rotundus,512623,14,,,,,,,0
273,Echium amoenum,701470,14,,,,,,,0
274,Elaeagnus angustifolia,36777,14,,,,,,,0
275,Fritillaria cirrhosa,108544,14,,,,,,,0
276,Gongronemopsis tenacissima,187505,14,,,,,,,0
277,Laurus nobilis,85223,14,,,,,,,0
278,Ligusticum chuanxiong,2689076,14,,,,,,,0
279,Lycium chinense,112883,14,,,,,,,6
280,Magnolia officinalis,85864,14,,,,,,,0
281,Malva sylvestris,145754,14,,,,,,,1
282,Polygonatum cyrtonema,195526,14,,,,,,,0
283,Rheum australe,284363,14,,,,,,,0
284,Rosa canina,74635,14,,,,,,,1
285,Senna auriculata,948713,14,,,,,,,0
286,Sesamum indicum,4182,14,,,,,,,0
287,Tanacetum parthenium,127999,14,,,,,,,1
288,Tridax procumbens,318066,14,,,,,,,0
289,Abrus precatorius,3816,13,,,,,,,0
290,Alpinia zerumbet,97723,13,,,,,,,0
291,Aquilaria sinensis,210372,13,,,,,,,0
292,Basella alba,3589,13,,,,,,,0
293,Berberis vulgaris,258209,13,,,,,,,4
294,Bergenia ciliata,278077,13,,,,,,,0
295,Brassica rapa,3711,13,,,,,,,45
296,Butea monosperma,56060,13,,,,,,,0
297,Capsicum annuum,4072,13,,,,,,,7
298,Carum carvi,48032,13,,,,,,,5
299,Chrysanthemum indicum,146995,13,,,,,,,0
300,Cinnamomum aromaticum,119260,13,,,,,,,3
301,Cornus officinalis,16906,13,,,,,,,0
302,Coscinium fenestratum,483232,13,,,,,,,0
303,Cynara cardunculus var. scolymus,59895,13,,,,,,,12
304,Dodonaea viscosa,151065,13,,,,,,,0
305,Eclipta prostrata,53719,13,,,,,,,0
306,Gardenia jasminoides,114476,13,,,,,,,0
307,Hellenia speciosa,49577,13,,,,,,,0
308,Kelussia odoratissima,2607460,13,,,,,,,0
309,Macleaya cordata,56857,13,,,,,,,1
310,Monoon longifolium,235806,13,,,,,,,0
311,Orthosiphon aristatus,204151,13,,,,,,,0
312,Passiflora edulis,78168,13,,,,,,,0
313,Penthorum chinense,49684,13,,,,,,,0
314,Plantago lanceolata,39414,13,,,,,,,0
315,Rheum palmatum,137221,13,,,,,,,9
316,Rhodiola crenulata,242839,13,,,,,,,2
317,Rubia cordifolia,339321,13,,,,,,,1
318,Salvia sclarea,38869,13,,,,,,,0
319,Scoparia dulcis,107240,13,,,,,,,0
320,Senna tora,362788,13,,,,,,,0
321,Ziziphora clinopodioides,751879,13,,,,,,,0
322,Achyranthes bidentata,384659,12,,,,,,,0
323,Alpinia galanga,94327,12,,,,,,,3
324,Astronium urundeuva,261998,12,,,,,,,0
325,Berberis aristata,659592,12,,,,,,,0
326,Boswellia serrata,613112,12,,,,,,,27
327,Curculigo orchioides,681286,12,,,,,,,0
328,Cyanthillium cinereum,211151,12,,,,,,,1
329,Datura metel,35625,12,,,,,,,0
330,Ephedra sinica,33152,12,,,,,,,1
331,Fagonia indica,66629,12,,,,,,,0
332,Mimosa pudica,76306,12,,,,,,,0
333,Moringa stenopetala,161034,12,,,,,,,0
334,Panax vietnamensis,106132,12,,,,,,,0
335,Peumus boldus,63812,12,,,,,,,1
336,Phaleria macrocarpa,223762,12,,,,,,,0
337,Rheum tanguticum,137226,12,,,,,,,0
338,Sophora tonkinensis,714503,12,,,,,,,0
339,Stryphnodendron adstringens,397648,12,,,,,,,1
340,Uncaria tomentosa,128375,12,,,,,,,1
341,Vitis vinifera,29760,12,,,,,,,125
342,Wrightia tinctoria,653463,12,,,,,,,0
343,Zanthoxylum bungeanum,328401,12,,,,,,,0
344,Acalypha indica,478095,11,,,,,,,0
